cmp-ds,B.10.35.001-0,B.10.35.001-1,B.10.35.001-2,B.10.35.001-3,B.20.22.001-0,B.20.22.001-1,B.20.22.001-2,C.10.11.001b-0,C.10.11.001b-1,C.10.11.001b-2,C.10.11.001b-3,C.10.11.001c-0,C.10.11.001c-1,C.10.11.001c-2,C.10.11.001c-3,C.30.11.001b-0,C.30.11.001b-1,C.30.11.002c-1,C.30.11.002c-2,C.30.27.002-0,C.30.27.002-1,C.30.32.003a-0,C.30.32.003a-1,C.30.32.003a-2,C.30.32.003a-3,C.30.32.003b-0,C.30.32.003b-1,C.30.32.003b-2,C.30.32.003b-3,C.30.34.002-0,C.30.34.002-1,D.10.14.021-0,D.10.14.021-1,D.10.14.021-10,D.10.14.021-11,D.10.14.021-12,D.10.14.021-13,D.10.14.021-14,D.10.14.021-15,D.10.14.021-2,D.10.14.021-3,D.10.14.021-4,D.10.14.021-5,D.10.14.021-6,D.10.14.021-7,D.10.14.021-8,D.10.14.021-9,D.30.31.013h-0,D.30.31.013h-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.52.013k-0,D.30.52.013k-1,D.30.52.013k-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.053a-0,D.40.11.053a-1,D.40.11.053a-2,collapse-0,collapse-1,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,27.902,13.344,9.658,15.048,10252.62,1553.1,7760.04,67.99999999999999,112.2,298.4,2818.9999999999995,0.9999999999999998,57.39999999999999,197.4,1392.9999999999998,5.599999999999999,1643.1999999999998,1.7999999999999996,1646.9999999999998,18174.2,6557.8,36216.0,4436.5,935.5000000000002,3067.0000000000005,12428.4,2338.8,445.2000000000001,1275.6000000000001,440.192,164.368,0.106,0.106,0.14,0.064,0.11,0.05,0.118,0.042,0.228,0.102,0.188,0.084,0.196,0.082,0.156,0.06,0.124,0.792,4022.0,1000.0,473.9999999999999,0.688,0.166,0.062,5.382,0.114,397.4,108.2,44.0,0.916,0.084,0.856,0.06,0.856,0.06
std,18.169884021939755,6.3795816574637945,5.625685084088039,13.671851925402795,5278.0455155795225,646.9234962652416,4746.478453951691,165.2592546349068,169.96746122641056,295.1128991530072,1004.1691647440911,9.959839195167117,121.79864457225759,214.6284481178654,507.9833601491064,30.50411450942307,499.0308844623673,17.24397603277257,499.5498976082377,7019.565724881528,4782.834952239188,13490.75962243716,3484.0522369763576,1027.8997547483038,4444.154815490579,5110.27036137352,1853.8630414226245,645.593169946959,1938.1944782893468,169.58297055956902,115.91400557904451,0.3619752092398147,0.32088929536486355,0.3530570755518055,0.24499805733146693,0.32574871365654967,0.2181632195874496,0.3351128186184555,0.21053419983128005,0.4609130956737162,0.31590440196737624,0.41593509590802225,0.2917434291580757,0.42182920685926706,0.2818419233178025,0.3794099416299148,0.24601024792509724,0.32991162963244286,0.40628331526722605,1802.2241880654294,1092.8809530571525,768.4432379948697,0.46377383749484036,0.3724532761109384,0.2413970693487825,1.6750186192247296,0.3811752735663181,178.76564073841772,109.62113658950302,75.60046866073944,0.2776656197529411,0.2776656197529411,0.3514413493658478,0.23772468540751895,0.3514413493658478,0.23772468540751895
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,2.0,3.9000000000000057,0.0,0.0,2142.000000000001,654.0000000000003,1365.000000000001,0.0,0.0,0.0,1490.0000000000005,0.0,0.0,0.0,699.9999999999999,0.0,1690.0000000000005,0.0,1799.9999999999995,8280.000000000002,590.0000000000006,18475.000000000004,0.0,0.0,0.0,4740.000000000005,0.0,0.0,0.0,221.70000000000002,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.9999999999999,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15.9%,7.0,8.0,3.0,1.0,4750.2300000000005,1050.0,2690.4600000000005,0.0,0.0,0.0,2199.9999999999995,0.0,0.0,0.0,1099.9999999999998,0.0,1799.9999999999995,0.0,1799.9999999999995,13034.1,1700.0,25500.000000000004,500.00000000000006,0.0,0.0,7404.600000000007,0.0,0.0,0.0,312.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.9999999999998,0.0,0.0,0.0,0.0,0.0,5.0,0.0,200.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
50%,28.0,14.0,10.0,11.5,10980.0,1680.0,7575.0,0.0,0.0,199.99999999999997,3199.9999999999995,0.0,0.0,99.99999999999999,1599.9999999999998,0.0,1799.9999999999995,0.0,1799.9999999999995,19900.0,5600.0,40750.00000000001,3875.000000000001,500.00000000000006,1250.0,13800.000000000002,2400.0,0.0,600.0000000000001,476.5,149.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3999.9999999999995,999.9999999999999,0.0,1.0,0.0,0.0,6.0,0.0,400.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
84.1%,46.0,20.0,15.0,29.0,15809.31,2160.0,13039.079999999998,99.99999999999999,299.99999999999994,599.9999999999999,3599.999999999999,0.0,99.99999999999999,399.99999999999994,1799.9999999999995,0.0,1799.9999999999995,0.0,1799.9999999999995,24300.0,11400.0,47250.00000000001,8250.000000000002,2164.749999999998,6414.749999999998,17400.000000000004,4200.000000000001,1200.0000000000002,2400.0000000000005,592.0,281.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5999.999999999999,1999.9999999999998,999.9999999999999,1.0,1.0,0.0,6.0,0.0,600.0,200.0,100.0,1.0,0.0,1.0,0.0,1.0,0.0
90%,53.0,21.0,17.0,34.0,16833.0,2250.0,14013.0,199.99999999999997,399.99999999999994,699.9999999999999,3599.999999999999,0.0,199.99999999999997,499.99999999999994,1799.9999999999995,0.0,1799.9999999999995,0.0,1799.9999999999995,25000.0,13010.000000000002,47750.00000000001,9500.000000000002,2500.0000000000005,9000.000000000002,17400.000000000004,4800.000000000001,1200.0000000000002,4200.000000000001,606.1,322.20000000000005,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5999.999999999999,1999.9999999999998,1999.9999999999998,1.0,1.0,0.0,6.0,0.0,600.0,300.0,100.0,1.0,0.0,1.0,0.0,1.0,0.0
97.7%,63.0,24.522999999999968,20.0,45.0,19021.379999999997,2520.0,17085.69,599.9999999999999,599.9999999999999,999.9999999999999,3599.999999999999,0.0,452.29999999999666,699.9999999999999,1799.9999999999995,99.99999999999999,1799.9999999999995,0.0,1799.9999999999995,26300.0,17852.299999999996,48500.00000000001,11500.000000000002,3500.0000000000005,17130.749999999996,18000.000000000004,6313.799999999981,2400.0000000000005,6600.000000000002,633.6149999999998,428.18399999999974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5999.999999999999,3999.9999999999995,2999.9999999999995,1.0,1.0,1.0,6.0,1.0,600.0,400.0,300.0,1.0,1.0,1.0,1.0,1.0,1.0
99.9%,71.00200000000007,28.501000000000033,24.002000000000066,64.5090000000003,20850.54000000002,2820.1800000000057,20356.23000000004,1300.6000000000197,899.9999999999999,1300.2000000000064,3599.999999999999,99.99999999999999,850.3000000000098,999.9999999999998,1799.9999999999995,250.10000000000326,1799.9999999999995,200.2000000000066,1799.9999999999995,26800.200000000008,21850.100000000002,48750.000000000015,14502.500000000087,4125.250000000009,26004.500000000153,18000.000000000004,8401.20000000004,3300.6000000000204,10500.600000000022,649.5030000000002,531.0100000000003,2.0,2.0,1.5010000000000332,1.0,2.0,1.0,2.0,1.5010000000000332,2.0,2.0,2.0,2.0,2.0,1.5010000000000332,2.0,1.5010000000000332,1.0,1.0,5999.999999999999,5000.0,3999.9999999999995,1.0,1.0,1.0,6.0,2.501000000000033,600.0,500.0,450.1000000000033,1.0,1.0,1.0,1.0,1.0,1.0
max,72.0,29.0,25.0,69.0,21120.0,2910.0,20970.0,1599.9999999999998,899.9999999999999,1399.9999999999998,3599.999999999999,99.99999999999999,999.9999999999999,999.9999999999998,1799.9999999999995,299.99999999999994,1799.9999999999995,299.99999999999994,1799.9999999999995,26900.0,21900.0,48750.000000000015,15750.000000000004,4250.000000000001,28250.000000000004,18000.000000000004,9000.000000000002,3600.0000000000005,10800.000000000002,651.0,536.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5999.999999999999,5000.0,3999.9999999999995,1.0,1.0,1.0,6.0,3.0,600.0,500.0,500.0,1.0,1.0,1.0,1.0,1.0,1.0
