cmp-loc-dir-ds,B.10.35.001-1-1-0,B.10.35.001-1-1-1,B.10.35.001-1-1-2,B.10.35.001-1-1-3,B.10.35.001-1-2-0,B.10.35.001-1-2-1,B.10.35.001-1-2-2,B.10.35.001-1-2-3,B.10.35.001-2-1-0,B.10.35.001-2-1-1,B.10.35.001-2-1-2,B.10.35.001-2-1-3,B.10.35.001-2-2-0,B.10.35.001-2-2-1,B.10.35.001-2-2-2,B.10.35.001-2-2-3,B.10.35.001-3-1-0,B.10.35.001-3-1-1,B.10.35.001-3-1-2,B.10.35.001-3-1-3,B.10.35.001-3-2-0,B.10.35.001-3-2-1,B.10.35.001-3-2-2,B.10.35.001-3-2-3,B.20.22.001-1-1-0,B.20.22.001-1-1-1,B.20.22.001-1-1-2,B.20.22.001-1-2-0,B.20.22.001-1-2-1,B.20.22.001-1-2-2,B.20.22.001-2-1-0,B.20.22.001-2-1-1,B.20.22.001-2-1-2,B.20.22.001-2-2-0,B.20.22.001-2-2-1,B.20.22.001-2-2-2,B.20.22.001-3-1-0,B.20.22.001-3-1-1,B.20.22.001-3-1-2,B.20.22.001-3-2-0,B.20.22.001-3-2-1,B.20.22.001-3-2-2,C.10.11.001b-1-1-0,C.10.11.001b-1-1-1,C.10.11.001b-1-1-2,C.10.11.001b-1-1-3,C.10.11.001b-1-2-0,C.10.11.001b-1-2-1,C.10.11.001b-1-2-2,C.10.11.001b-1-2-3,C.10.11.001b-2-1-0,C.10.11.001b-2-1-1,C.10.11.001b-2-1-2,C.10.11.001b-2-1-3,C.10.11.001b-2-2-0,C.10.11.001b-2-2-1,C.10.11.001b-2-2-2,C.10.11.001b-2-2-3,C.10.11.001b-3-1-0,C.10.11.001b-3-1-1,C.10.11.001b-3-1-2,C.10.11.001b-3-1-3,C.10.11.001b-3-2-0,C.10.11.001b-3-2-1,C.10.11.001b-3-2-2,C.10.11.001b-3-2-3,C.10.11.001c-1-1-0,C.10.11.001c-1-1-1,C.10.11.001c-1-1-2,C.10.11.001c-1-1-3,C.10.11.001c-1-2-0,C.10.11.001c-1-2-1,C.10.11.001c-1-2-2,C.10.11.001c-1-2-3,C.10.11.001c-2-1-1,C.10.11.001c-2-1-2,C.10.11.001c-2-1-3,C.10.11.001c-2-2-1,C.10.11.001c-2-2-2,C.10.11.001c-2-2-3,C.10.11.001c-3-1-1,C.10.11.001c-3-1-2,C.10.11.001c-3-1-3,C.10.11.001c-3-2-0,C.10.11.001c-3-2-1,C.10.11.001c-3-2-2,C.10.11.001c-3-2-3,C.30.11.001b-1-1-0,C.30.11.001b-1-1-1,C.30.11.001b-1-2-0,C.30.11.001b-1-2-1,C.30.11.001b-2-1-1,C.30.11.001b-2-2-1,C.30.11.001b-3-1-1,C.30.11.001b-3-2-1,C.30.11.002c-1-1-1,C.30.11.002c-1-1-2,C.30.11.002c-1-2-1,C.30.11.002c-1-2-2,C.30.11.002c-2-1-1,C.30.11.002c-2-1-2,C.30.11.002c-2-2-2,C.30.11.002c-3-1-2,C.30.11.002c-3-2-2,C.30.27.002-1-0-0,C.30.27.002-1-0-1,C.30.27.002-2-0-0,C.30.27.002-2-0-1,C.30.27.002-3-0-0,C.30.27.002-3-0-1,C.30.32.003a-1-0-0,C.30.32.003a-1-0-1,C.30.32.003a-1-0-2,C.30.32.003a-1-0-3,C.30.32.003a-2-0-0,C.30.32.003a-2-0-1,C.30.32.003a-2-0-2,C.30.32.003a-2-0-3,C.30.32.003a-3-0-0,C.30.32.003a-3-0-1,C.30.32.003a-3-0-2,C.30.32.003a-3-0-3,C.30.32.003b-1-0-0,C.30.32.003b-1-0-1,C.30.32.003b-1-0-2,C.30.32.003b-1-0-3,C.30.32.003b-2-0-0,C.30.32.003b-2-0-1,C.30.32.003b-2-0-2,C.30.32.003b-2-0-3,C.30.32.003b-3-0-0,C.30.32.003b-3-0-1,C.30.32.003b-3-0-2,C.30.32.003b-3-0-3,C.30.34.002-1-0-0,C.30.34.002-1-0-1,C.30.34.002-2-0-0,C.30.34.002-2-0-1,C.30.34.002-3-0-0,C.30.34.002-3-0-1,D.10.14.021-1-0-0,D.10.14.021-1-0-1,D.10.14.021-1-0-10,D.10.14.021-1-0-11,D.10.14.021-1-0-12,D.10.14.021-1-0-13,D.10.14.021-1-0-14,D.10.14.021-1-0-15,D.10.14.021-1-0-2,D.10.14.021-1-0-3,D.10.14.021-1-0-4,D.10.14.021-1-0-5,D.10.14.021-1-0-6,D.10.14.021-1-0-7,D.10.14.021-1-0-8,D.10.14.021-1-0-9,D.30.31.013h-4-0-0,D.30.31.013h-4-0-1,D.30.41.011c-1-0-0,D.30.41.011c-1-0-1,D.30.41.011c-1-0-2,D.30.41.011c-2-0-0,D.30.41.011c-2-0-1,D.30.41.011c-2-0-2,D.30.41.011c-3-0-0,D.30.41.011c-3-0-1,D.30.41.011c-3-0-2,D.30.52.013k-4-0-0,D.30.52.013k-4-0-1,D.30.52.013k-4-0-2,D.30.67.012b-1-0-0,D.30.67.012b-1-0-1,D.30.67.012b-2-0-0,D.30.67.012b-2-0-1,D.30.67.012b-3-0-0,D.30.67.012b-3-0-1,D.40.11.053a-1-0-0,D.40.11.053a-1-0-1,D.40.11.053a-1-0-2,D.40.11.053a-2-0-0,D.40.11.053a-2-0-1,D.40.11.053a-2-0-2,D.40.11.053a-3-0-0,D.40.11.053a-3-0-1,D.40.11.053a-3-0-2,collapse-0-1-0,collapse-0-1-1,excessiveRID-1-1-0,excessiveRID-1-1-1,irreparable-0-1-0,irreparable-0-1-1
count,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,500.0,500.0,458.0,458.0,458.0,500.0
mean,7.975982532751091,1.8056768558951966,1.0436681222707425,1.1746724890829694,8.283842794759826,2.050218340611354,0.8842794759825328,0.7816593886462883,3.8471615720524017,2.53056768558952,1.9235807860262009,3.6986899563318776,4.248908296943231,2.8209606986899565,2.01528384279476,2.9148471615720526,3.041484716157205,2.465065502183406,2.3078602620087336,4.185589519650655,3.0633187772925763,2.8951965065502185,2.368995633187773,3.6724890829694323,2892.9039301310045,259.12663755458516,927.9694323144105,3037.2707423580787,263.9737991266376,778.7554585152839,1372.532751091703,269.0829694323144,1658.3842794759826,1503.1441048034935,295.28384279475983,1501.5720524017468,1169.2794759825329,291.48471615720524,1839.235807860262,1217.6855895196506,316.5720524017467,1765.7423580786026,38.86462882096068,48.03493449781658,103.27510917030564,409.8253275109169,29.257641921397372,45.63318777292575,115.72052401746721,409.3886462882095,3.2751091703056763,10.917030567685588,38.42794759825326,547.3799126637554,2.1834061135371177,10.480349344978162,33.18777292576418,554.1484716157204,0.43668122270742354,4.148471615720523,18.122270742358076,577.2925764192139,0.21834061135371177,3.2751091703056763,17.030567685589517,579.475982532751,0.43668122270742354,30.34934497816593,73.36244541484714,195.85152838427945,0.43668122270742354,24.890829694323138,79.9126637554585,194.7598253275109,2.4017467248908293,24.672489082969424,272.9257641921397,3.930131004366811,20.08733624454148,275.98253275109164,0.6550218340611352,8.951965065502181,290.39301310043663,0.21834061135371177,0.43668122270742354,8.515283842794759,290.82969432314405,2.8384279475982526,297.1615720524017,3.2751091703056763,296.72489082969423,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,0.6550218340611352,299.3449781659388,1.0917030567685588,298.9082969432314,0.21834061135371177,299.78165938864623,299.99999999999994,299.99999999999994,299.99999999999994,7592.794759825328,1407.2052401746726,5628.384279475982,3371.6157205240174,6619.650655021834,2380.349344978166,11365.174672489085,2200.327510917031,540.3930131004369,2144.1048034934497,13422.489082969432,1633.7336244541484,306.76855895196513,887.0087336244544,14749.454148471617,1009.279475982533,174.12663755458522,317.13973799126643,3784.7161572052414,1078.165938864629,251.52838427947606,885.5895196506552,4613.973799126638,864.6288209606989,153.27510917030574,368.1222707423582,5169.432314410481,610.4803493449784,81.22270742358081,138.86462882096072,137.44541484716157,82.55458515283843,161.83842794759826,58.161572052401745,181.27510917030568,38.724890829694324,0.11572052401746726,0.11572052401746726,0.15283842794759825,0.06986899563318777,0.12008733624454149,0.05458515283842795,0.12882096069868995,0.04585152838427948,0.24890829694323144,0.11135371179039301,0.2052401746724891,0.09170305676855896,0.21397379912663755,0.08951965065502183,0.1703056768558952,0.06550218340611354,0.13537117903930132,0.8646288209606987,1240.1746724890827,473.7991266375545,286.02620087336237,1491.2663755458514,358.0786026200872,150.6550218340611,1659.3886462882094,259.82532751091696,80.78602620087335,0.7510917030567685,0.1812227074235808,0.06768558951965066,1.9934497816593886,0.006550218340611353,1.9148471615720524,0.0851528384279476,1.9672489082969433,0.03275109170305677,123.79912663755458,48.90829694323144,27.292576419213972,144.97816593886463,40.8296943231441,14.192139737991265,165.06550218340612,28.38427947598253,6.550218340611353,0.916,0.084,0.9344978165938864,0.06550218340611354,0.9344978165938864,0.06
std,4.271614059027166,1.9822545571860979,1.4607382785770253,2.4270657473490145,3.9407816807481204,2.0981626734602403,1.3883437956883744,1.899076096262982,4.127429013644891,2.103488845357187,1.7554699306074073,3.9522364978243445,3.9459212118833107,1.9531261914370521,1.7167555101470353,3.400887720158254,3.52242326027017,1.8734240922434235,1.7661983695636783,3.795432268773662,3.2453177028221027,1.9235778982578542,1.6383263448515737,3.447281414674376,1175.879239707045,197.88515697281898,1061.8041411081945,1023.1327534261454,192.14764384790385,896.5538088654496,1011.7217402374042,143.61855971289998,1018.935820595159,929.3644713163073,136.46853502285344,924.10684080446,877.5905225236634,132.77043244217455,918.243533688847,809.8466055754783,138.25038429495942,842.0977733923854,102.57312710834839,86.29539925321271,119.67394924314037,209.6458722279878,85.5916159600624,82.311602745238,131.20225276821097,203.73766126852942,26.671161301563938,41.456387332735204,85.53689521256607,118.54198025839194,19.72550104399022,41.56917524718379,73.00289031669658,106.22957163821148,9.34538627031994,22.04619696733178,53.326646133337924,70.692770650411,4.672693135159959,21.184163620055248,53.88945594289686,65.60731659523097,6.600952082289902,68.87886339311291,95.12196287242337,121.82167531899894,6.600952082289956,61.28179595347917,98.51408619302552,118.77772467589088,21.301117105449784,61.191682787521096,67.53359608020412,22.57619067825181,54.05233922212237,63.03428715585888,8.07561277996605,34.16067528220414,37.937218022035644,4.67269313515996,6.6009520822899095,34.27238022052916,36.27890731978753,19.076607260443218,19.076607260443218,23.158068584812085,23.15806858481208,0.0,0.0,0.0,0.0,8.07561277996605,8.075612779966049,10.402632690637184,10.402632690637184,4.672693135159969,4.672693135159968,0.0,0.0,0.0,1340.046557461733,1340.0465574617328,2195.136360671133,2195.136360671133,1606.6622401238637,1606.6622401238635,4397.5045231007925,1539.8126082195402,607.219024463981,2948.4499072415997,2941.3945108350767,1422.118427441188,427.5112893879581,1468.8339217348923,1789.259448254098,1067.623859368113,315.2780047064636,615.2652432886614,1864.1927128597235,892.0284697165126,412.0290033847199,1305.102669427009,1399.3985639083253,829.2346882942003,331.03540019813954,759.6708160073642,1008.2070794743962,743.5642095667838,220.29677259815094,356.64437051140453,53.49294183121267,53.49294183121267,38.851511173945006,38.851511173945006,27.93746283857511,27.93746283857512,0.37674992787726336,0.33362544095342256,0.3662492785145137,0.2552048653174598,0.3386005324615747,0.22741709807489002,0.3481729848701458,0.21959340736921587,0.4761820582744346,0.32851686040179134,0.43052922392030735,0.3036916250044713,0.43639303266883567,0.29336087037889486,0.3933699913832712,0.2563629406244945,0.34249370899224246,0.34249370899224246,784.9525568266604,634.8479538839645,528.2616048542778,672.148430879579,559.921667642568,404.0408679349112,574.5602996217609,508.31335212868373,272.80421170221643,0.4328533748147972,0.3856238098480894,0.2514802858876471,0.08075612779966054,0.08075612779966054,0.3297072479765844,0.3297072479765844,0.17817905596193948,0.17817905596193945,75.58074963091897,62.836910720954585,52.27521000944275,67.35791889426721,59.28982916820343,37.3566140334173,56.54238809897803,50.61988536039798,25.63629406244943,0.2776656197529411,0.2776656197529411,0.24768041850489197,0.24768041850489197,0.24768041850489197,0.23772468540751895
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5434873745251223,,,,,,,,,,,0.8317725823589178,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17334999828681746,,,,,,,,,,,,,,,,,,,,,,,0.09131362480497299,,0.12124958358706314,2.6645352591003757e-14,2.6645352591003757e-14,2.6645352591003757e-14,2.6645352591003757e-14,,0.03270802605716155,,0.042132973729564156,,0.018925445410295526,2.6645352591003757e-14,2.6645352591003757e-14,2.6645352591003757e-14,0.2207974919105443,,0.5714229169599199,,0.31304421696021145,,,,,,0.29416524693312085,,,,0.14220026127428834,,,,,,,,,,,,0.24925771404596622,,,,0.5475343786118316,,0.31030390630009347,0.8110052025189473,0.17354984744514956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05591473986253519,,,,0.12336940656416467,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999,0.0,99.99999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,0.0,199.99999999999997,0.0,199.99999999999997,0.0,199.99999999999997,299.99999999999994,299.99999999999994,299.99999999999994,2100.0,0.0,100.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,2500.0000000000005,0.0,0.0,0.0,6750.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0000000000002,0.0,0.0,0.0,9.0,0.0,23.0,3.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.710000000000003,0.0,0.0,133.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.699999999999996,0.0,0.0,0.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.699999999999996,0.0,99.99999999999999,0.0,99.99999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,0.0,199.99999999999997,0.0,199.99999999999997,0.0,245.69999999999996,299.99999999999994,299.99999999999994,299.99999999999994,2100.0,0.0,237.1,0.0,1091.4,45.7,228.50000000000003,0.0,0.0,0.0,2614.2500000000005,0.0,0.0,0.0,6864.250000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0000000000002,0.0,0.0,0.0,11.742,0.457,23.457,3.0,84.457,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
